Sample #,Station #,Cast #,Niskin #,Month,Day,Year,Time UTC,Latitude,Longitude,Bottle trip Flag,Depth,Pressure,Temp_1,Temp_1_Flag,Temp_2,Temp_2_Flag,Sal_1,Sal_1_Flag,Sal_2,Sal_2_Flag,CTD_o2_sat,CTD_o2_sat_Flag,CTD_o2_conc,CTD_o2_conc_Flag,OXYGEN,OXYGEN_FLAG_W,DIC_AOML,DIC_AOML_FLAG,ALKALI,ALKALI_FLAG,PH_TOT,PH_TOT_TEMP,PH_TOT_FLAG_W,Silicate,Silicate_FLAG,NO2,NO2_FLAG,NO3,NO3_FLAG,NO2+NO3,NO2+NO3_FLAG,PO4,PO4_FLAG,DIC_UDEL,DIC_UDEL_FLAG_W,PN,PN_FLAG,POC,POC_FLAG,DOC,DOC_Flag,CDOM (@443nm),CDOM_FLAG,HPLC_chl_a,HPLC_chl_a_flag,NPP,NPP,NPP_flag,NPP_PC,NPP_PC,NPP_PC_flag,NPP_PN,NPP_PN,NPP_PN_flag
,,,,mm,dd,yyyy,hr:mn:ss,deg,deg,,m,db,C,,C,,psu,,psu,,%sat,,umol/kg,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,°C,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,mg/m^3,,mg/m^3,,umol/L,,1/m,,mg/m^3,,umol C l-1 d-1,Stdev,,umol C/l,Stdev,,umol N/l,Stdev,
34,2,1,10,6,20,2015,4:25:01,41.00116,-70.396,2,11.91,12.003,10.6731,2,10.6517,2,32.6267,2,32.6295,2,113.01,2,311.133,2,-999,-999,-999,9,2195.28,2,7.844476057,25,2,0.6,2,0.0,2,0.01,2,0.01,2,0.30,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
35,2,1,11,6,20,2015,4:25:09,41.00116,-70.396,2,11.888,11.982,10.7227,2,10.7195,2,32.6122,2,32.6133,2,113.299,2,311.632,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
36,2,1,12,6,20,2015,4:26:27,41.001,-70.39566,2,2.778,2.8,13.5506,2,13.3,2,32.4897,2,32.5186,2,117.567,2,305.139,2,275.2,6,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
37,2,1,13,6,20,2015,4:26:35,41.001,-70.39566,2,2.609,2.629,13.6012,2,13.6191,2,32.4997,2,32.5032,2,117.542,2,304.747,2,-999,-999,1894.40,6,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
38,2,1,14,6,20,2015,4:26:42,41.001,-70.39566,2,2.737,2.759,13.2241,2,13.2209,2,32.5008,2,32.5035,2,117.144,2,306.053,2,-999,-999,-999,9,2182.97,2,7.889590325,25,2,0.0,2,0.0,2,0.00,2,0.00,2,0.23,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
39,2,1,15,6,20,2015,4:26:49,41.001,-70.39566,2,2.677,2.698,13.2281,2,13.2099,2,32.5008,2,32.5002,2,117.358,2,306.587,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
40,3,1,1,6,20,2015,6:15:48,40.75475,-70.31898,2,47.304,47.678,8.7301,2,8.7283,2,32.8502,2,32.8506,2,107.432,2,308.051,2,242.2,4,1960.01,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
41,3,1,2,6,20,2015,6:15:56,40.7547,-70.31896,2,47.453,47.828,8.741,2,8.7369,2,32.8519,2,32.8524,2,107.831,2,309.118,2,-999,-999,-999,9,2216.53,2,7.783985681,25,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
42,3,1,3,6,20,2015,6:16:04,40.75466,-70.31894,2,47.493,47.868,8.7324,2,8.7386,2,32.8501,2,32.853,2,107.305,2,307.672,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
43,3,1,4,6,20,2015,6:17:58,40.75402,-70.31868,2,31.033,31.277,8.9967,2,8.9855,2,32.8922,2,32.8926,2,111.572,2,317.95,2,-999,-999,1947.68,2,2214.12,2,7.817019979,25,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
